show_id,country
s1251,United States
s1252,"Brazil, United States, India"
s1253,India
s1254,United States
s1255,United States
s1256,United States
s1257,United States
s1258,United States
s1259,United States
s1260,United States
s1261,United States
s1262,United States
s1263,United States
s1264,United States
s1265,United States
s1266,United States
s1267,United States
s1268,United States
s1269,United States
s1270,United States
s1271,United States
s1272,United States
s1273,United States
s1274,United States
s1275,United States
s1276,United States
s1277,United States
s1278,United States
s1279,United States
s1280,United States
s1281,United States
s1282,United States
s1283,United States
s1284,United States
s1285,United States
s1286,United States
s1287,United States
s1288,United States
s1289,United States
s1290,United States
s1291,United States
s1292,United States
s1293,United States
s1294,United States
s1295,United States
s1296,United States
s1297,United States
s1298,United States
s1299,United States
s1300,United States
s1301,United States
s1302,United States
s1303,United States
s1304,United States
s1305,United States
s1306,United States
s1307,United States
s1308,United States
s1309,United States
s1310,United States
s1311,United States
s1312,United States
s1313,United States
s1314,United States
s1315,United States
s1316,United States
s1317,United States
s1318,United States
s1319,United States
s1320,United States
s1321,United States
s1322,United States
s1323,United States
s1324,United States
s1325,United States
s1326,United States
s1327,United States
s1328,United States
s1329,United States
s1330,United States
s1331,United States
s1332,United States
s1333,United States
s1334,United States
s1335,United States
s1336,United States
s1337,United States
s1338,United States
s1339,United States
s1340,United States
s1341,India
s1342,United States
s1343,United States
s1344,United States
s1345,United States
s1346,United States
s1347,United States
s1348,United States
s1349,United States
s1350,United States
s1351,United States
s1352,United States
s1353,United States
s1354,United States
s1355,United States
s1356,United States
s1357,United States
s1358,United States
s1359,United States
s1360,United States
s1361,United States
s1362,United States
s1363,United States
s1364,United States
s1365,United States
s1366,United States
s1367,United States
s1368,United States
s1369,United States
s1370,United States
s1371,United States
s1372,United States
s1373,United States
s1374,United States
s1375,United States
s1376,United States
s1377,United States
s1378,India
s1379,United States
s1380,United States
s1381,United States
s1382,United States
s1383,United States
s1384,United States
s1385,United States
s1386,United States
s1387,United States
s1388,United States
s1389,United States
s1390,United States
s1391,United States
s1392,United States
s1393,India
s1394,India
s1395,United States
s1396,United States
s1397,United States
s1398,India
s1399,United States
s1400,United States
s1401,United States
s1402,United States
s1403,United States
s1404,United States
s1405,United States
s1406,United States
s1407,United States
s1408,United States
s1409,United States
s1410,United States
s1411,United States
s1412,United States
s1413,United States
s1414,United States
s1415,United States
s1416,United States
s1417,United States
s1418,United States
s1419,United States
s1420,United States
s1421,India
s1422,United States
s1423,United States
s1424,United States
s1425,United States
s1426,United States
s1427,United States
s1428,United States
s1429,United States
s1430,United States
s1431,United States
s1432,United States
s1433,United States
s1434,United States
s1435,United States
s1436,United States
s1437,United States
s1438,United States
s1439,United States
s1440,India
s1441,India
s1442,United States
s1443,United States
s1444,United States
s1445,United States
s1446,United States
s1447,United States
s1448,United States
s1449,United States
s1450,United States
s1451,United States
s1452,United States
s1453,United States
s1454,United States
s1455,United States
s1456,United States
s1457,United States
s1458,United States
s1459,United States
s1460,United States
s1461,United States
s1462,United States
s1463,United States
s1464,United States
s1465,United States
s1466,United States
s1467,United States
s1468,United States
s1469,United States
s1470,United States
s1471,India
s1472,United States
s1473,United States
s1474,United States
s1475,United States
s1476,United States
s1477,United States
s1478,Canada
s1479,United States
s1480,United States
s1481,United States
s1482,United States
s1483,United States
s1484,United States
s1485,United States
s1486,United States
s1487,United States
s1488,United States
s1489,United States
s1490,United States
s1491,United States
s1492,United States
s1493,United States
s1494,United States
s1495,United States
s1496,United States
s1497,United States
s1498,United States
s1499,India
s1500,United States
s1501,United States
s1502,United States
s1503,United States
s1504,United States
s1505,United States
s1506,United States
s1507,United States
s1508,India
s1509,United States
s1510,United States
s1511,United States
s1512,United States
s1513,United States
s1514,United States
s1515,India
s1516,United States
s1517,United States
s1518,United States
s1519,United States
s1520,United States
s1521,United States
s1522,United States
s1523,United States
s1524,United States
s1525,United States
s1526,United States
s1527,United States
s1528,United States
s1529,United States
s1530,United States
s1531,United States
s1532,United States
s1533,United States
s1534,United States
s1535,United States
s1536,United States
s1537,United States
s1538,United States
s1539,United States
s1540,United States
s1541,United States
s1542,United States
s1543,United States
s1544,United States
s1545,"Switzerland, India"
s1546,United States
s1547,United States
s1548,United States
s1549,United States
s1550,United States
s1551,United States
s1552,United States
s1553,United States
s1554,United States
s1555,United States
s1556,United States
s1557,United States
s1558,United States
s1559,United States
s1560,United States
s1561,United States
s1562,United States
s1563,United States
s1564,United States
s1565,United States
s1566,United States
s1567,United States
s1568,United States
s1569,United States
s1570,United States
s1571,United States
s1572,India
s1573,United States
s1574,India
s1575,United States
s1576,United States
s1577,United States
s1578,United States
s1579,United States
s1580,United States
s1581,India
s1582,United States
s1583,United States
s1584,United States
s1585,United States
s1586,United States
s1587,United States
s1588,United States
s1589,United States
s1590,United States
s1591,United States
s1592,United States
